image_id,reason,path
1,empty_file,data/training_data/1.png
2,empty_file,data/training_data/2.png
4,empty_file,data/training_data/4.png
6,empty_file,data/training_data/6.png
58,empty_file,data/training_data/58.png
71,empty_file,data/training_data/71.png
135,empty_file,data/training_data/135.png
163,empty_file,data/training_data/163.png
1128,empty_file,data/training_data/1128.png
1612,empty_file,data/training_data/1612.png
2032,empty_file,data/training_data/2032.png
2174,empty_file,data/training_data/2174.png
2734,empty_file,data/training_data/2734.png
2968,empty_file,data/training_data/2968.png
3045,empty_file,data/training_data/3045.png
3165,empty_file,data/training_data/3165.png
3277,empty_file,data/training_data/3277.png
3732,empty_file,data/training_data/3732.png
4664,empty_file,data/training_data/4664.png
5768,empty_file,data/training_data/5768.png
5794,empty_file,data/training_data/5794.png
6367,empty_file,data/training_data/6367.png
7037,empty_file,data/training_data/7037.png
8501,empty_file,data/training_data/8501.png
8603,empty_file,data/training_data/8603.png
8949,empty_file,data/training_data/8949.png
9420,empty_file,data/training_data/9420.png
9630,empty_file,data/training_data/9630.png
9657,empty_file,data/training_data/9657.png
10146,empty_file,data/training_data/10146.png
11502,empty_file,data/training_data/11502.png
11506,empty_file,data/training_data/11506.png
12638,empty_file,data/training_data/12638.png
12710,empty_file,data/training_data/12710.png
13245,empty_file,data/training_data/13245.png
13455,empty_file,data/training_data/13455.png
